dataId,itemClass,dataLevel,dataListingOffersUrl,dataPaintPrice,isCraftable,dataPaintName,orderType,availableQty,dataPrice,listingPrice,dataOrigin,title,dataQName,isTradable,quality,itemType
4836619969,Medic,13,https://steamcommunity.com/tradeoffer/new/?partner=294994601&token=wQU7CFHE,,1,,1,1,4.66,4.22 ref,Timed Drop,A Brush with Death,Unique,1,6,Cosmetic
4835028268,Medic,88,https://steamcommunity.com/tradeoffer/new/?partner=118657863&token=0oiRBHN4,,1,,1,1,4.66,4.33 ref,Crafted,A Brush with Death,Unique,1,6,Cosmetic
4828157776,Medic,33,https://steamcommunity.com/tradeoffer/new/?partner=223829785&token=gPmU8_6W,,1,,1,1,4.66,4.33 ref,Crafted,A Brush with Death,Unique,1,6,Cosmetic
4828097376,Medic,13,https://steamcommunity.com/tradeoffer/new/?partner=318132189&token=7S6TqUL6,,1,,1,1,4.66,4.33 ref,Crafted,A Brush with Death,Unique,1,6,Cosmetic
4833292715,Medic,59,https://steamcommunity.com/tradeoffer/new/?partner=318132189&token=7S6TqUL6,,1,,1,1,4.66,4.33 ref,Crafted,A Brush with Death,Unique,1,6,Cosmetic
,Medic,,https://steamcommunity.com/tradeoffer/new/?partner=294994601&token=wQU7CFHE,,1,,0,0,4.66,4.11 ref,,A Brush with Death,Unique,1,6,Cosmetic
,Medic,,https://steamcommunity.com/tradeoffer/new/?partner=36880715&token=W2DmD6BX,,1,,0,0,4.66,4 ref,,A Brush with Death,Unique,1,6,Cosmetic
,Medic,,https://steamcommunity.com/tradeoffer/new/?partner=188271767&token=CKraXx8E,,1,,0,0,4.66,4 ref,,A Brush with Death,Unique,1,6,Cosmetic
,Medic,,https://steamcommunity.com/tradeoffer/new/?partner=328695059&token=wPcpOJek,,1,,0,0,4.66,4 ref,,A Brush with Death,Unique,1,6,Cosmetic
,Medic,,https://steamcommunity.com/tradeoffer/new/?partner=263575164&token=3rF2ctBG,,1,,0,0,4.66,4 ref,,A Brush with Death,Unique,1,6,Cosmetic
4697489502,Pyro,84,https://steamcommunity.com/tradeoffer/new/?partner=170514465&token=iOVAxvg_,,1,,1,1,2.33,2.33 ref,Found in Crate,A Head Full of Hot Air,Unique,1,6,Cosmetic
4251807594,Pyro,6,https://steamcommunity.com/tradeoffer/new/?partner=35898720&token=NGGEdQ2_,,1,,1,1,2.33,2.33 ref,Found in Crate,A Head Full of Hot Air,Unique,1,6,Cosmetic
4822461349,Pyro,82,https://steamcommunity.com/tradeoffer/new/?partner=91439716&token=e1qBmHSR,,1,,1,1,2.33,2.33 ref,Found in Crate,A Head Full of Hot Air,Unique,1,6,Cosmetic
4509052103,Pyro,13,https://steamcommunity.com/tradeoffer/new/?partner=43625951&token=GJS8kvNV,,1,,1,1,2.33,2.33 ref,Found in Crate,A Head Full of Hot Air,Unique,1,6,Cosmetic
4760687618,Pyro,75,https://steamcommunity.com/tradeoffer/new/?partner=200359043&token=CgKrkqQN,,1,,1,1,2.33,2.44 ref,Found in Crate,A Head Full of Hot Air,Unique,1,6,Cosmetic
,Pyro,,https://steamcommunity.com/tradeoffer/new/?partner=106163583&token=nbIYTd29,,1,,0,0,2.33,2.44 ref,,A Head Full of Hot Air,Unique,1,6,Cosmetic
,Pyro,,https://steamcommunity.com/tradeoffer/new/?partner=335547968&token=_K2ypWr2,,1,,0,0,2.33,2.33 ref,,A Head Full of Hot Air,Unique,1,6,Cosmetic
,Pyro,,https://steamcommunity.com/tradeoffer/new/?partner=328695059&token=wPcpOJek,,1,,0,0,2.33,2.33 ref,,A Head Full of Hot Air,Unique,1,6,Cosmetic
