buyOrderCount,url,sellOrderList,buyOrderList,totalQty,sellOrderCount
0,http://backpack.tf/stats/Vintage/A Head Full of Hot Air/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/A Hat to Kill For/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/A Brush with Death/Tradable/Craftable,4 ref;4 ref;4 ref;4 ref;4 ref,4.22 ref;4.22 ref;4.33 ref;4.33 ref;4.33 ref,"27,966",5
0,http://backpack.tf/stats/Genuine/A Head Full of Hot Air/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/A Head Full of Hot Air/Tradable/Craftable,2.44 ref;2.44 ref;2.33 ref;2.33 ref;2.33 ref,2.33 ref;2.33 ref;2.33 ref;2.33 ref;2.33 ref,"13,848",5
0,http://backpack.tf/stats/Haunted/A Head Full of Hot Air/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Strange/A Hat to Kill For/Tradable/Craftable,12 ref;12 ref;12 ref;11 ref,12.88 ref;13 ref;13.66 ref;14 ref;1 key,"1,483",4
0,http://backpack.tf/stats/Vintage/A Hat to Kill For/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/A Hat to Kill For/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/A Distinctive Lack of Hue/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/A Distinctive Lack of Hue/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/A Distinctive Lack of Hue/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/A Hat to Kill For/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Ein/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/A Distinctive Lack of Hue/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Gentle Manne's Service Medal/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Festive Gloves of Running Urgently/Tradable/Craftable,,,0,0
2,http://backpack.tf/stats/Strange/A Head Full of Hot Air/Tradable/Craftable,4.11 ref;4.11 ref;3.88 ref;3.66 ref;3.66 ref,6 ref;6.33 ref,"3,075",5
5,http://backpack.tf/stats/Unique/Lurker's Leathers/Tradable/Craftable,6 ref;6 ref;6 ref;6 ref;6 ref,6 ref;7 ref;7 ref;7 ref;7 ref,"21,310",5
2,http://backpack.tf/stats/Strange/Patriot's Pouches/Tradable/Craftable,"1 key, 3 ref;1 key, 2 ref;1 key;1 key","1 key, 11 ref;2 keys",0,4
5,http://backpack.tf/stats/Unique/Mutton Mann/Tradable/Craftable,1.33 ref;1.22 ref;1 ref,1.66 ref;1.66 ref;1.66 ref;1.66 ref;1.66 ref,"21,740",3
5,http://backpack.tf/stats/Unique/A Hat to Kill For/Tradable/Craftable,5.44 ref;5.33 ref;5 ref;5 ref;5 ref,5.22 ref;5.33 ref;5.33 ref;5.33 ref;5.33 ref,"9,973",5
0,http://backpack.tf/stats/Haunted/Medical Mystery/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Sole Mate/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Snow Scoper/Tradable/Craftable,5.55 ref;5.44 ref;5.44 ref;5.44 ref;5.44 ref,5.66 ref;5.66 ref;5.77 ref;5.77 ref;5.77 ref,"30,669",5
0,http://backpack.tf/stats/Collector's/Disciplinary Action/Tradable/Craftable,"8 keys;6 keys, 9 ref",,171,2
0,http://backpack.tf/stats/Unique/Soldier Costume Transmogrifier/Tradable/Craftable,,,363,0
0,http://backpack.tf/stats/Vintage/Zipperface/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Zipperface/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Zepheniah's Greed/Tradable/Craftable,,,0,0
1,http://backpack.tf/stats/Unique/Zipperface/Tradable/Craftable,,6 keys,169,0
5,http://backpack.tf/stats/Unique/Wet Works/Tradable/Craftable,1.11 ref;1.11 ref;1 ref,1.33 ref;1.33 ref;1.33 ref;1.33 ref;1.33 ref,"9,236",3
0,http://backpack.tf/stats/Collector's/Zepheniah's Greed/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Zepheniah's Greed/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Zepheniah's Greed/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Zepheniah's Greed/Tradable/Craftable,3.77 ref;3.77 ref;3.77 ref;3.66 ref;3.66 ref,4 ref;4.55 ref;4.55 ref;4.55 ref;4.55 ref,"24,802",5
0,http://backpack.tf/stats/Haunted/Ze Übermensch/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Ze Übermensch/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Haunted/Zipperface/Tradable/Craftable,1.77 ref;1.77 ref;1.66 ref,1.88 ref;3 ref;5 ref;12 ref;12 ref,"5,238",3
0,http://backpack.tf/stats/Genuine/Zipperface/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Collector's/Zipperface/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Ze Übermensch/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Ze Übermensch/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Vintage/Ze Übermensch/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Ze Goggles/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Ze Übermensch/Tradable/Craftable,1.22 ref;1.11 ref,1.22 ref;1.33 ref;1.33 ref;1.33 ref;1.33 ref,"9,237",2
0,http://backpack.tf/stats/Vintage/Ze Goggles/Tradable/Craftable,7.44 ref;7.33 ref;7.11 ref,,"6,130",3
0,http://backpack.tf/stats/Genuine/Zepheniah's Greed/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Genuine/Ze Goggles/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Haunted/Yuri's Revenge/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Ze Goggles/Tradable/Craftable,1.22 ref;1 ref,1.27 ref;1.33 ref;1.33 ref;1.33 ref;1.33 ref,"20,917",2
0,http://backpack.tf/stats/Vintage/Yuri's Revenge/Tradable/Craftable,,,0,0
5,http://backpack.tf/stats/Unique/Rail Spikes/Tradable/Craftable,1.11 ref;1 ref;1 ref,1.33 ref;1.33 ref;1.44 ref;1.44 ref;3 ref,"13,618",3
0,http://backpack.tf/stats/Genuine/Yuri's Revenge/Tradable/Craftable,,,0,0
0,http://backpack.tf/stats/Strange/Yuri's Revenge/Tradable/Craftable,,,0,0
